epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
51,4694.3,0.54317,0.83895,0.84256,0.95175,0.7702,0.79803,0.81243,0.69701,0.78855,0.78135,0.81659,0.6044,0.58148,1.13557,0.97208,1.10102,0.00101,0.00101,0.00101
52,4784.72,0.54098,0.79872,0.83342,0.97589,0.68921,0.84481,0.79928,0.67907,0.70133,0.8,0.8053,0.57198,0.5642,1.22895,1.08202,1.12019,0.0009902,0.0009902,0.0009902
53,4874.47,0.56564,0.96909,0.83742,0.9693,0.68921,0.84481,0.79928,0.67907,0.70133,0.8,0.8053,0.57198,0.5642,1.22895,1.08202,1.12019,0.0009704,0.0009704,0.0009704
54,4965.16,0.55829,0.89734,0.87795,0.96211,0.65619,0.83616,0.79425,0.649,0.6481,0.82439,0.78575,0.56431,0.58894,1.27107,1.11079,1.1594,0.0009506,0.0009506,0.0009506
55,5056.59,0.54065,0.85817,0.81719,0.96314,0.68161,0.85714,0.81285,0.66109,0.67196,0.8381,0.79182,0.58338,0.57978,1.19738,1.02071,1.15427,0.0009308,0.0009308,0.0009308
56,5153.51,0.55769,0.88015,0.82843,0.97083,0.72331,0.7967,0.8302,0.67837,0.71494,0.78825,0.80999,0.62147,0.60931,1.1755,1.01165,1.14984,0.000911,0.000911,0.000911
57,5245.27,0.51637,0.77211,0.8497,0.95869,0.75725,0.79048,0.8348,0.69864,0.76637,0.8,0.81603,0.63337,0.60119,1.13555,0.98128,1.11171,0.0008912,0.0008912,0.0008912
58,5339.24,0.54792,0.8172,0.78464,0.95849,0.76732,0.8,0.85607,0.7246,0.83315,0.76093,0.84722,0.66393,0.569,1.05562,0.91794,1.08475,0.0008714,0.0008714,0.0008714
59,5430.3,0.54401,0.82409,0.81105,0.97848,0.85239,0.76994,0.87467,0.74696,0.8614,0.79048,0.85908,0.68154,0.53869,1.04376,0.88136,1.07657,0.0008516,0.0008516,0.0008516
60,5519.34,0.55815,0.85424,0.83085,0.95658,0.84754,0.79419,0.86779,0.75406,0.84754,0.79419,0.85125,0.68572,0.52075,0.95359,0.84098,1.06723,0.0008318,0.0008318,0.0008318
